,Prep,Month,nino34,probNeutral,probNino,probNina,state,nextState
2005-01-01,0.0,1,0.6061863000000001,0.15,0.85,0.0,0,0
2005-01-02,0.0,1,0.5993582,0.15,0.85,0.0,0,0
2005-01-03,0.0,1,0.6467837,0.15,0.85,0.0,0,1
2005-01-04,1.6,1,0.6636958000000001,0.15,0.85,0.0,1,0
2005-01-05,0.0,1,0.7113301999999999,0.15,0.85,0.0,0,0
2005-01-06,0.0,1,0.6791847,0.15,0.85,0.0,0,0
2005-01-07,0.0,1,0.5581354000000001,0.15,0.85,0.0,0,0
2005-01-08,0.0,1,0.451021,0.15,0.85,0.0,0,0
2005-01-09,0.0,1,0.5934341,0.15,0.85,0.0,0,1
2005-01-10,0.4,1,0.6724190999999999,0.15,0.85,0.0,1,0
2005-01-11,0.0,1,0.7572473000000001,0.15,0.85,0.0,0,0
2005-01-12,0.0,1,0.7553262,0.15,0.85,0.0,0,0
2005-01-13,0.0,1,0.6709630999999999,0.15,0.85,0.0,0,1
2005-01-14,0.4,1,0.4865741,0.15,0.85,0.0,1,1
2005-01-15,0.2,1,0.44367159999999994,0.15,0.85,0.0,1,1
2005-01-16,1.1,1,0.49455249999999995,0.15,0.85,0.0,1,1
2005-01-17,0.3,1,0.5434246,0.15,0.85,0.0,1,0
2005-01-18,0.0,1,0.5360125,0.15,0.85,0.0,0,0
2005-01-19,0.0,1,0.5825704,0.15,0.85,0.0,0,1
2005-01-20,2.0,1,0.6186965,0.15,0.85,0.0,1,0
2005-01-21,0.0,1,0.6389868000000001,0.15,0.85,0.0,0,0
2005-01-22,0.0,1,0.7159134,0.15,0.85,0.0,0,0
2005-01-23,0.0,1,0.6533903,0.15,0.85,0.0,0,0
2005-01-24,0.0,1,0.6089788,0.15,0.85,0.0,0,0
2005-01-25,0.0,1,0.5767071,0.15,0.85,0.0,0,0
2005-01-26,0.0,1,0.6369123000000001,0.15,0.85,0.0,0,0
2005-01-27,0.0,1,0.5723215,0.15,0.85,0.0,0,1
2005-01-28,1.0,1,0.4322751,0.15,0.85,0.0,1,1
2005-01-29,2.4,1,0.24031750000000002,0.15,0.85,0.0,1,0
2005-01-30,0.0,1,0.1384895,0.15,0.85,0.0,0,1
2005-01-31,1.7,1,0.08971023,0.15,0.85,0.0,1,0
2005-02-01,0.0,2,0.1926404,0.35,0.65,0.0,0,0
2005-02-02,0.0,2,0.2180685,0.35,0.65,0.0,0,0
2005-02-03,0.0,2,0.146623,0.35,0.65,0.0,0,0
2005-02-04,0.0,2,0.1537042,0.35,0.65,0.0,0,1
2005-02-05,0.2,2,0.25099570000000004,0.35,0.65,0.0,1,1
2005-02-06,0.4,2,0.27771540000000006,0.35,0.65,0.0,1,1
2005-02-07,0.4,2,0.17810479999999998,0.35,0.65,0.0,1,1
2005-02-08,0.3,2,0.17962999999999998,0.35,0.65,0.0,1,1
2005-02-09,0.4,2,0.1561899,0.35,0.65,0.0,1,1
2005-02-10,1.2,2,0.2723717,0.35,0.65,0.0,1,1
2005-02-11,14.5,2,0.45400820000000003,0.35,0.65,0.0,1,1
2005-02-12,8.1,2,0.4460704000000001,0.35,0.65,0.0,1,0
2005-02-13,0.0,2,0.3078531,0.35,0.65,0.0,0,0
2005-02-14,0.0,2,0.24739879999999997,0.35,0.65,0.0,0,0
2005-02-15,0.0,2,0.2973284,0.35,0.65,0.0,0,1
2005-02-16,2.1,2,0.30806740000000005,0.35,0.65,0.0,1,1
2005-02-17,1.5,2,0.16973229999999997,0.35,0.65,0.0,1,0
2005-02-18,0.0,2,0.05048525,0.35,0.65,0.0,0,0
2005-02-19,0.0,2,0.210614,0.35,0.65,0.0,0,1
2005-02-20,2.0,2,0.2442065,0.35,0.65,0.0,1,0
2005-02-21,0.0,2,0.25184429999999997,0.35,0.65,0.0,0,0
2005-02-22,0.0,2,0.1212427,0.35,0.65,0.0,0,0
2005-02-23,0.0,2,0.06309137,0.35,0.65,0.0,0,0
2005-02-24,0.0,2,-0.01657775,0.35,0.65,0.0,0,0
2005-02-25,0.0,2,-0.1369207,0.35,0.65,0.0,0,0
2005-02-26,0.0,2,-0.24012529999999996,0.35,0.65,0.0,0,0
2005-02-27,0.0,2,-0.2534601,0.35,0.65,0.0,0,1
2005-02-28,2.1,2,-0.1535934,0.35,0.65,0.0,1,0
2005-03-01,0.0,3,-0.1152048,0.65,0.35,0.0,0,0
2005-03-02,0.0,3,-0.08005313,0.65,0.35,0.0,0,1
2005-03-03,3.0,3,-0.03978858,0.65,0.35,0.0,1,1
2005-03-04,4.0,3,0.02237462,0.65,0.35,0.0,1,0
2005-03-05,0.0,3,0.1343625,0.65,0.35,0.0,0,1
2005-03-06,2.9,3,0.24876410000000002,0.65,0.35,0.0,1,1
2005-03-07,0.3,3,0.2660726,0.65,0.35,0.0,1,1
2005-03-08,0.1,3,0.1952161,0.65,0.35,0.0,1,0
2005-03-09,0.0,3,0.09667202,0.65,0.35,0.0,0,0
2005-03-10,0.0,3,0.1629515,0.65,0.35,0.0,0,0
2005-03-11,0.0,3,0.2261058,0.65,0.35,0.0,0,0
2005-03-12,0.0,3,0.2302645,0.65,0.35,0.0,0,0
2005-03-13,0.0,3,0.2129768,0.65,0.35,0.0,0,0
2005-03-14,0.0,3,0.30149590000000004,0.65,0.35,0.0,0,0
2005-03-15,0.0,3,0.3669752,0.65,0.35,0.0,0,1
2005-03-16,3.4,3,0.4296955,0.65,0.35,0.0,1,0
2005-03-17,0.0,3,0.4488613,0.65,0.35,0.0,0,1
2005-03-18,0.3,3,0.38906740000000006,0.65,0.35,0.0,1,1
2005-03-19,1.1,3,0.4122605,0.65,0.35,0.0,1,1
2005-03-20,0.1,3,0.396194,0.65,0.35,0.0,1,0
2005-03-21,0.0,3,0.27816609999999997,0.65,0.35,0.0,0,0
2005-03-22,0.0,3,0.287387,0.65,0.35,0.0,0,1
2005-03-23,6.1,3,0.25411079999999997,0.65,0.35,0.0,1,1
2005-03-24,2.6,3,0.21413800000000002,0.65,0.35,0.0,1,0
2005-03-25,0.0,3,0.2994925,0.65,0.35,0.0,0,1
